Player,PlayerID,Age,TeamID,GP,GS,W,L,OTL,GA,SA,SV,SV%,GAA,SO
Juuse Saros,sarosju01,29.0,NSH,21.0,21.0,6.0,10.0,5.0,54.0,610.0,556.0,0.911,2.62,2.0
Connor Hellebuyck,helleco01,31.0,WPG,20.0,20.0,15.0,5.0,0.0,43.0,586.0,543.0,0.927,2.16,3.0
Jordan Binnington,binnijo01,31.0,STL,19.0,18.0,7.0,9.0,2.0,53.0,523.0,470.0,0.899,2.87,1.0
Filip Gustavsson,gustafi01,26.0,MIN,19.0,19.0,12.0,4.0,3.0,39.0,552.0,513.0,0.929,2.04,2.0
Jacob Markstrom,marksja02,35.0,NJD,19.0,19.0,12.0,6.0,1.0,48.0,517.0,469.0,0.907,2.54,1.0
Sam Montembeault,montesa01,28.0,MTL,19.0,18.0,7.0,10.0,2.0,49.0,495.0,446.0,0.901,2.99,2.0
Andrei Vasilevskiy,vasilan02,30.0,TBL,19.0,19.0,10.0,8.0,1.0,46.0,495.0,449.0,0.907,2.5,2.0
Joey Daccord,daccojo01,28.0,SEA,18.0,18.0,11.0,6.0,1.0,45.0,509.0,464.0,0.912,2.53,1.0
Kevin Lankinen,lankike01,29.0,VAN,18.0,18.0,12.0,3.0,3.0,48.0,512.0,464.0,0.906,2.66,2.0
Petr Mrazek,mrazepe01,32.0,CHI,18.0,18.0,7.0,10.0,1.0,50.0,543.0,493.0,0.908,2.79,0.0
Igor Shesterkin,shestig01,29.0,NYR,18.0,18.0,8.0,9.0,1.0,53.0,579.0,526.0,0.908,3.05,1.0
Jeremy Swayman,swaymje01,26.0,BOS,18.0,18.0,7.0,9.0,2.0,54.0,502.0,448.0,0.892,3.09,1.0
Mackenzie Blackwood,blackma01,28.0,SJS,17.0,16.0,6.0,8.0,3.0,47.0,506.0,459.0,0.907,2.94,1.0
Sergei Bobrovsky,bobrose01,36.0,FLA,17.0,17.0,11.0,5.0,1.0,51.0,463.0,412.0,0.89,3.04,1.0
Alexandar Georgiev,georgal01,28.0,COL,17.0,16.0,7.0,7.0,0.0,52.0,391.0,339.0,0.867,3.54,0.0
Adin Hill,hillad01,28.0,VEG,17.0,17.0,11.0,4.0,2.0,44.0,442.0,398.0,0.9,2.67,2.0
Ukko-Pekka Luukkonen,luukkuk01,25.0,BUF,17.0,17.0,8.0,6.0,2.0,45.0,481.0,436.0,0.906,2.69,1.0
Jake Oettinger,oettija01,26.0,DAL,17.0,17.0,13.0,4.0,0.0,39.0,458.0,419.0,0.915,2.38,1.0
Stuart Skinner,skinnst01,26.0,EDM,17.0,17.0,8.0,7.0,2.0,49.0,441.0,392.0,0.889,2.97,1.0
Elvis Merzlikins,merzlel01,30.0,CBJ,16.0,16.0,8.0,6.0,2.0,48.0,453.0,405.0,0.894,3.0,1.0
David Rittich,rittida01,32.0,LAK,16.0,14.0,9.0,6.0,0.0,34.0,302.0,268.0,0.887,2.48,0.0
Ilya Sorokin,sorokil01,29.0,NYI,16.0,16.0,6.0,6.0,4.0,40.0,475.0,435.0,0.916,2.48,1.0
Lukas Dostal,dostalu01,24.0,ANA,15.0,15.0,6.0,7.0,2.0,41.0,520.0,479.0,0.921,2.73,1.0
Cam Talbot,talboca01,37.0,DET,15.0,14.0,6.0,5.0,2.0,37.0,433.0,396.0,0.915,2.73,1.0
Linus Ullmark,ullmali01,31.0,OTT,15.0,14.0,5.0,7.0,2.0,43.0,385.0,342.0,0.888,3.07,1.0
Pyotr Kochetkov,kochepy01,25.0,CAR,14.0,14.0,10.0,3.0,0.0,35.0,350.0,315.0,0.9,2.55,0.0
Anthony Stolarz,stolaan01,31.0,TOR,14.0,14.0,8.0,4.0,2.0,31.0,408.0,377.0,0.924,2.23,1.0
Connor Ingram,ingraco01,27.0,ARI,13.0,13.0,6.0,4.0,3.0,43.0,334.0,291.0,0.871,3.61,0.0
Logan Thompson,thomplo01,27.0,WSH,13.0,13.0,10.0,1.0,2.0,33.0,380.0,347.0,0.913,2.52,0.0
Karel Vejmelka,vejmeka01,28.0,ARI,13.0,11.0,3.0,7.0,1.0,29.0,348.0,319.0,0.917,2.38,0.0
Daniel Vladar,vladada01,27.0,CGY,13.0,13.0,5.0,5.0,3.0,35.0,365.0,330.0,0.904,2.65,2.0
Dustin Wolf,wolfdu01,23.0,CGY,13.0,13.0,8.0,4.0,1.0,34.0,413.0,379.0,0.918,2.59,1.0
Charlie Lindgren,lindgch01,31.0,WSH,12.0,12.0,7.0,5.0,0.0,35.0,318.0,283.0,0.89,2.95,0.0
Alex Nedeljkovic,nedelal01,29.0,PIT,12.0,11.0,4.0,4.0,3.0,40.0,342.0,302.0,0.883,3.31,0.0
Justus Annunen,annunju01,24.0,COL,11.0,9.0,6.0,4.0,0.0,28.0,218.0,190.0,0.872,3.23,0.0
Samuel Ersson,erssosa01,25.0,PHI,11.0,10.0,5.0,2.0,2.0,26.0,265.0,239.0,0.902,2.7,1.0
Vitek Vanecek,vanecvi01,29.0,SJS,11.0,10.0,3.0,5.0,1.0,35.0,329.0,294.0,0.894,3.52,0.0
Anton Forsberg,forsban01,32.0,OTT,10.0,10.0,4.0,5.0,0.0,27.0,259.0,232.0,0.896,2.93,2.0
Spencer Knight,knighsp01,23.0,FLA,10.0,9.0,4.0,4.0,1.0,24.0,230.0,206.0,0.896,2.6,1.0
Joonas Korpisalo,korpijo01,30.0,BOS,10.0,9.0,6.0,2.0,1.0,23.0,253.0,230.0,0.909,2.39,2.0
Darcy Kuemper,kuempda01,34.0,LAK,10.0,10.0,4.0,2.0,3.0,26.0,258.0,232.0,0.899,2.65,1.0
Cayden Primeau,primeca01,25.0,MTL,10.0,7.0,2.0,3.0,1.0,38.0,243.0,205.0,0.844,4.45,0.0
Semyon Varlamov,varlasi01,36.0,NYI,10.0,10.0,3.0,4.0,3.0,29.0,262.0,233.0,0.889,2.89,0.0
Jake Allen,allenja01,34.0,NJD,9.0,9.0,5.0,3.0,1.0,24.0,247.0,223.0,0.903,2.7,2.0
Ivan Fedotov,fedotiv01,28.0,PHI,9.0,9.0,4.0,4.0,1.0,30.0,253.0,223.0,0.881,3.39,0.0
Tristan Jarry,jarrytr01,29.0,PIT,9.0,9.0,4.0,3.0,1.0,32.0,276.0,244.0,0.884,3.88,0.0
Alex Lyon,lyonal01,32.0,DET,9.0,8.0,4.0,4.0,0.0,23.0,258.0,235.0,0.911,2.74,1.0
Spencer Martin,martisp01,29.0,CAR,9.0,7.0,3.0,4.0,1.0,27.0,175.0,148.0,0.846,3.89,1.0
Calvin Pickard,pickaca01,32.0,EDM,9.0,8.0,5.0,3.0,0.0,21.0,200.0,179.0,0.895,2.5,0.0
Ilya Samsonov,samsoil01,27.0,VEG,9.0,9.0,5.0,3.0,1.0,31.0,288.0,257.0,0.892,3.4,0.0
Joel Blomqvist,blomqjo01,23.0,PIT,8.0,7.0,3.0,5.0,0.0,25.0,261.0,236.0,0.904,3.6,0.0
Casey DeSmith,desmica01,33.0,DAL,8.0,7.0,3.0,4.0,0.0,19.0,202.0,183.0,0.906,2.57,1.0
Philipp Grubauer,grubaph01,33.0,SEA,8.0,8.0,1.0,7.0,0.0,28.0,203.0,175.0,0.862,3.62,0.0
Joel Hofer,hoferjo01,24.0,STL,8.0,8.0,5.0,3.0,0.0,22.0,230.0,208.0,0.904,2.93,1.0
Daniil Tarasov,tarasda02,25.0,CBJ,8.0,8.0,3.0,4.0,1.0,32.0,230.0,198.0,0.861,4.04,0.0
Joseph Woll,wolljo01,26.0,TOR,8.0,8.0,6.0,2.0,0.0,17.0,220.0,203.0,0.923,2.13,1.0
Aleksei Kolosov,kolosal01,23.0,PHI,7.0,6.0,3.0,4.0,0.0,20.0,184.0,164.0,0.891,2.94,0.0
Devon Levi,levide01,23.0,BUF,7.0,6.0,2.0,5.0,0.0,24.0,185.0,161.0,0.87,3.95,0.0
Jonathan Quick,quickjo01,39.0,NYR,7.0,6.0,5.0,1.0,0.0,13.0,203.0,190.0,0.936,2.03,2.0
Arturs Silovs,silovar01,23.0,VAN,7.0,6.0,1.0,4.0,1.0,25.0,163.0,138.0,0.847,4.11,0.0
Arvid Soderblom,soderar01,25.0,CHI,7.0,7.0,1.0,5.0,1.0,17.0,211.0,194.0,0.919,2.46,0.0
Eric Comrie,comrier01,29.0,WPG,6.0,6.0,3.0,3.0,0.0,18.0,186.0,168.0,0.903,3.04,0.0
Marc-Andre Fleury,fleurma01,40.0,MIN,6.0,6.0,5.0,0.0,1.0,16.0,169.0,153.0,0.905,2.64,0.0
John Gibson,gibsojo02,31.0,ANA,6.0,6.0,4.0,1.0,1.0,15.0,179.0,164.0,0.916,2.48,0.0
Scott Wedgewood,wedgesc01,32.0,2TM,6.0,4.0,2.0,2.0,1.0,16.0,153.0,137.0,0.895,3.11,0.0
Scott Wedgewood,wedgesc01,32.0,NSH,5.0,4.0,1.0,2.0,1.0,16.0,131.0,115.0,0.878,3.69,0.0
Scott Wedgewood,wedgesc01,32.0,COL,1.0,0.0,1.0,0.0,0.0,0.0,22.0,22.0,1.0,0.0,0.0
Jonas Johansson,johanjo03,29.0,TBL,5.0,4.0,2.0,1.0,1.0,20.0,156.0,136.0,0.872,4.48,0.0
Frederik Andersen,anderfr01,35.0,CAR,4.0,4.0,3.0,1.0,0.0,6.0,101.0,95.0,0.941,1.48,0.0
Ville Husso,hussovi01,29.0,DET,4.0,3.0,0.0,2.0,2.0,13.0,90.0,77.0,0.856,4.22,0.0
James Reimer,reimeja01,36.0,2TM,4.0,4.0,1.0,3.0,0.0,13.0,118.0,105.0,0.89,3.29,0.0
James Reimer,reimeja01,36.0,BUF,2.0,2.0,1.0,1.0,0.0,4.0,52.0,48.0,0.923,2.05,0.0
James Reimer,reimeja01,36.0,ANA,2.0,2.0,0.0,2.0,0.0,9.0,66.0,57.0,0.864,4.5,0.0
Yaroslav Askarov,askarya01,22.0,SJS,2.0,2.0,1.0,0.0,1.0,4.0,55.0,51.0,0.927,1.96,0.0
Dennis Hildeby,hildede01,23.0,TOR,2.0,2.0,1.0,1.0,0.0,8.0,61.0,53.0,0.869,4.03,0.0
Pheonix Copley,copleph01,33.0,LAK,1.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0,0.833,4.37,0.0
Kaapo Kahkonen,kahkoka01,28.0,COL,1.0,1.0,0.0,1.0,0.0,4.0,20.0,16.0,0.8,4.12,0.0
Trent Miner,minertr01,23.0,COL,1.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,0.923,1.72,0.0
Yaniv Perets,peretya01,24.0,CAR,1.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.857,7.32,0.0
Erik Portillo,portier01,24.0,LAK,1.0,1.0,1.0,0.0,0.0,1.0,29.0,28.0,0.966,1.02,0.0
Akira Schmid,schmiak01,24.0,VEG,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0
Jaxson Stauber,staubja01,25.0,ARI,1.0,1.0,1.0,0.0,0.0,0.0,29.0,29.0,1.0,0.0,1.0
Mads Sogaard,sogaama01,24.0,OTT,1.0,0.0,1.0,0.0,0.0,4.0,17.0,13.0,0.765,6.96,0.0
